t,buy_price
2018-11-26 14:40:29.257966,2834208
2018-11-27 09:11:57.416819,2876883
2018-11-27 09:25:02.278945,2885768
2018-11-27 09:30:02.471632,2885768
2018-11-27 09:35:01.708791,2883992
2018-11-27 09:40:02.022667,2883992
2018-11-27 09:45:02.287279,2880655
2018-11-27 09:50:01.503420,2879734
2018-11-27 09:55:01.972615,2879734
2018-11-27 10:00:02.244652,2878038
2018-11-27 10:05:01.683468,2875041
2018-11-27 10:10:01.972274,2875041
2018-11-27 10:15:02.348766,2872541
2018-11-27 10:20:01.544516,2872541
2018-11-27 10:25:02.449025,2871496
2018-11-27 10:30:01.777567,2871170
2018-11-27 10:35:01.940093,2871170
2018-11-27 10:40:02.111012,2870293
2018-11-27 10:45:02.455327,2869484
2018-11-27 10:50:01.638172,2869484
2018-11-27 10:55:02.168900,2869489
2018-11-27 11:00:02.306471,2869489
2018-11-27 11:05:01.776714,2869377
2018-11-27 11:10:02.437427,2870430
2018-11-27 11:15:01.657198,2870430
2018-11-27 11:20:02.145482,2868686
2018-11-27 11:25:02.417710,2868789
2018-11-27 11:30:01.766528,2868789
2018-11-27 11:35:02.005720,2868599
2018-11-27 11:40:02.355891,2868599
2018-11-27 11:45:01.614270,2869276
2018-11-27 11:50:01.696957,2868593
2018-11-27 11:55:01.913573,2868593
2018-11-27 12:00:02.481040,2869403
2018-11-27 12:05:01.959406,2869319
2018-11-27 12:10:02.321946,2869319
2018-11-27 12:15:01.509210,2871104
2018-11-27 12:20:01.815682,2871104
2018-11-27 12:25:01.450294,2874913
2018-11-27 12:30:02.206733,2874539
2018-11-27 12:35:01.569187,2874539
2018-11-27 12:40:01.760805,2875087
2018-11-27 12:45:02.261897,2875817
2018-11-27 12:50:01.746349,2875817
2018-11-27 12:55:02.381045,2874569
2018-11-27 13:00:01.948709,2874569
2018-11-27 13:05:01.574494,2873688
2018-11-27 13:10:02.179752,2873814
2018-11-27 13:15:01.626398,2873814
2018-11-27 13:20:01.985784,2873395
2018-11-27 13:25:02.278643,2873187
2018-11-27 13:30:01.609640,2873187
2018-11-27 13:35:02.146108,2873132
2018-11-27 13:40:02.414489,2873132
2018-11-27 13:45:01.632874,2872772
2018-11-27 13:50:02.186239,2872159
2018-11-27 13:55:01.620396,2872159
2018-11-27 14:00:02.156915,2871247
2018-11-27 14:05:01.623864,2871066
2018-11-27 14:10:01.985290,2871066
2018-11-27 14:15:02.309931,2869603
2018-11-27 14:20:01.844178,2869603
2018-11-27 14:25:02.331802,2868696
2018-11-27 14:30:01.938142,2867543
2018-11-27 14:35:02.388775,2867543
2018-11-27 14:40:01.988338,2866488
2018-11-27 14:45:02.665684,2864665
2018-11-27 14:50:01.932919,2864665
2018-11-27 14:55:02.193349,2864761
2018-11-27 15:00:01.795589,2864761
2018-11-27 15:05:02.191104,2864552
2018-11-27 15:10:02.625740,2863628
2018-11-27 15:15:02.048683,2863628
2018-11-27 15:20:02.528790,2863873
2018-11-27 15:25:03.305238,2863865
2018-11-27 15:30:01.790814,2863865
2018-11-27 15:35:02.483739,2862850
2018-11-27 15:40:01.785010,2862850
2018-11-27 15:45:02.412604,2864516
2018-11-27 15:50:01.725263,2866079
2018-11-27 15:55:02.340903,2866079
2018-11-27 16:00:01.937939,2866712
2018-11-27 16:05:02.389940,2868258
2018-11-27 16:10:01.803715,2868258
2018-11-27 16:15:02.317053,2868414
2018-11-27 16:20:01.979520,2868414
2018-11-27 16:25:02.368307,2868685
2018-11-27 16:30:01.834657,2868754
2018-11-27 16:35:02.453805,2868754
2018-11-27 16:40:01.831705,2868935
2018-11-27 16:45:02.345810,2869755
2018-11-27 16:50:01.585982,2869755
2018-11-27 16:55:02.033809,2869743
2018-11-27 17:00:01.534915,2869743
2018-11-27 17:05:02.325310,2868983
2018-11-27 17:10:01.797280,2868386
2018-11-27 17:15:02.340636,2868386
2018-11-27 17:20:01.696190,2868269
2018-11-27 17:25:02.058412,2868421
2018-11-27 17:30:02.515912,2868421
2018-11-27 17:35:02.074559,2868514
2018-11-27 17:40:02.518708,2868514
2018-11-27 17:45:01.901542,2868340
2018-11-27 17:50:02.474597,2868023
2018-11-27 17:55:01.856352,2868023
2018-11-27 18:00:02.377698,2868599
2018-11-27 18:05:01.914507,2870555
2018-11-27 18:10:02.351490,2870555
2018-11-27 18:15:01.973361,2870491
2018-11-27 18:20:02.476612,2870491
2018-11-27 18:25:01.816880,2871226
2018-11-27 18:30:02.442396,2870372
2018-11-27 18:35:01.838588,2870372
2018-11-27 18:40:02.262930,2869416
2018-11-27 18:45:01.949850,2868966
2018-11-27 18:50:02.393639,2868966
2018-11-27 18:55:01.926478,2868653
2018-11-27 19:00:01.549746,2868653
2018-11-27 19:05:02.290841,2868466
2018-11-27 19:10:01.821352,2868466
2018-11-27 19:15:02.429669,2868330
2018-11-27 19:20:02.311983,2868428
2018-11-27 19:25:01.983537,2868428
2018-11-27 19:30:02.381102,2868145
2018-11-27 19:35:01.935910,2868398
2018-11-27 19:40:04.828124,2868398
2018-11-27 19:45:08.544011,2868645
2018-11-27 19:50:01.966836,2868645
2018-11-27 19:55:02.341736,2868775
2018-11-27 20:00:01.589871,2869193
2018-11-27 20:05:02.274812,2869193
2018-11-27 20:10:02.314509,2869484
2018-11-27 20:15:01.866500,2869806
2018-11-27 20:20:02.551260,2869806
2018-11-27 20:25:01.908746,2870752
2018-11-27 20:30:02.480583,2870752
2018-11-27 20:35:02.191204,2871312
2018-11-27 20:40:02.073837,2872300
2018-11-27 20:45:01.823871,2872300
2018-11-27 20:50:01.585983,2873680
2018-11-27 20:55:02.236095,2874490
2018-11-27 21:00:01.788854,2874490
2018-11-27 21:05:02.359073,2876222
2018-11-27 21:10:01.756759,2876222
2018-11-27 21:15:02.342802,2876666
2018-11-27 21:20:01.891906,2877641
2018-11-27 21:25:02.321395,2877641
2018-11-27 21:30:01.770105,2878915
2018-11-27 21:35:01.848495,2881613
2018-11-27 21:40:02.383511,2881613
2018-11-27 21:45:01.926997,2881545
2018-11-27 21:50:02.329277,2881545
2018-11-27 21:55:01.896366,2881815
2018-11-27 22:00:01.776372,2882778
2018-11-27 22:05:02.474082,2882778
2018-11-27 22:10:01.743349,2884616
2018-11-27 22:15:02.282740,2886672
2018-11-27 22:20:01.901329,2886672
2018-11-27 22:25:01.784931,2891304
2018-11-27 22:30:02.322331,2891304
2018-11-27 22:35:01.861314,2893689
2018-11-27 22:40:02.299362,2896469
2018-11-27 22:45:01.980702,2896469
2018-11-27 22:50:01.911283,2900796
2018-11-27 22:55:01.832050,2916640
2018-11-27 23:00:02.294229,2916640
2018-11-27 23:05:01.606116,2923743
2018-11-27 23:10:02.178001,2923743
2018-11-27 23:15:01.776579,2934939
2018-11-27 23:20:02.308654,2937056
2018-11-27 23:25:01.735739,2937056
