t,buy_high
2018-11-26 00:00:00.000000,2834208
2018-11-27 00:00:00.000000,2946047
2018-11-28 00:00:00.000000,2983165
2018-11-29 00:00:00.000000,2997480
2018-11-30 00:00:00.000000,3086849
2018-12-01 00:00:00.000000,3079678
2018-12-02 00:00:00.000000,3089850
2018-12-03 00:00:00.000000,3082646
2018-12-04 00:00:00.000000,3077345
2018-12-05 00:00:00.000000,3064130
2018-12-06 00:00:00.000000,3052485
2018-12-07 00:00:00.000000,3043423
2018-12-08 00:00:00.000000,3040829
2018-12-09 00:00:00.000000,3041729
2018-12-10 00:00:00.000000,3029250
2018-12-11 00:00:00.000000,3015854
2018-12-12 00:00:00.000000,3018171
2018-12-13 00:00:00.000000,3001527
2018-12-14 00:00:00.000000,2998585
2018-12-15 00:00:00.000000,3001867
2018-12-16 00:00:00.000000,3008835
2018-12-17 00:00:00.000000,2985807
2018-12-18 00:00:00.000000,2969274
2018-12-19 00:00:00.000000,2957419
2018-12-20 00:00:00.000000,2949411
2018-12-21 00:00:00.000000,2937033
2018-12-22 00:00:00.000000,2926801
2018-12-23 00:00:00.000000,2910198
2018-12-24 00:00:00.000000,2897691
2018-12-25 00:00:00.000000,2891653
2018-12-26 00:00:00.000000,2901485
2018-12-27 00:00:00.000000,2897156
2018-12-28 00:00:00.000000,2888387
2018-12-29 00:00:00.000000,2882170
2018-12-30 00:00:00.000000,2874662
2018-12-31 00:00:00.000000,2865951
2019-01-01 00:00:00.000000,2856692
2019-01-02 00:00:00.000000,2838039
2019-01-03 00:00:00.000000,2832699
2019-01-04 00:00:00.000000,2826282
2019-01-05 00:00:00.000000,2836974
2019-01-06 00:00:00.000000,2817053
2019-01-07 00:00:00.000000,2811982
2019-01-08 00:00:00.000000,2810041
2019-01-09 00:00:00.000000,2801344
2019-01-10 00:00:00.000000,2786903
2019-01-11 00:00:00.000000,2718878
2019-01-12 00:00:00.000000,2681093
2019-01-13 00:00:00.000000,2618262
2019-01-14 00:00:00.000000,2563243
2019-01-15 00:00:00.000000,2546935
2019-01-16 00:00:00.000000,2550891
2019-01-17 00:00:00.000000,2587135
2019-01-18 00:00:00.000000,2667899
2019-01-19 00:00:00.000000,2778777
2019-01-20 00:00:00.000000,2785862
2019-01-21 00:00:00.000000,2758656
2019-01-22 00:00:00.000000,2743744
2019-01-23 00:00:00.000000,2717967
2019-01-24 00:00:00.000000,2698901
2019-01-25 00:00:00.000000,2671803
2019-01-26 00:00:00.000000,2648942
2019-01-27 00:00:00.000000,2632200
2019-01-28 00:00:00.000000,2666636
2019-01-29 00:00:00.000000,2603473
2019-01-30 00:00:00.000000,2601981
2019-01-31 00:00:00.000000,2597117
2019-02-01 00:00:00.000000,2591635
2019-02-02 00:00:00.000000,2588362
2019-02-03 00:00:00.000000,2593942
2019-02-04 00:00:00.000000,2595164
2019-02-05 00:00:00.000000,2628062
2019-02-06 00:00:00.000000,2608818
2019-02-07 00:00:00.000000,2612213
2019-02-08 00:00:00.000000,2620928
2019-02-09 00:00:00.000000,2631141
2019-02-10 00:00:00.000000,2676937
2019-02-11 00:00:00.000000,2636936
2019-02-12 00:00:00.000000,2623852
2019-02-13 00:00:00.000000,2619965
2019-02-14 00:00:00.000000,2600790
2019-02-15 00:00:00.000000,2591167
2019-02-16 00:00:00.000000,2600250
2019-02-17 00:00:00.000000,2593189
2019-02-18 00:00:00.000000,2586504
2019-02-19 00:00:00.000000,2584138
2019-02-20 00:00:00.000000,2579966
2019-02-21 00:00:00.000000,2583301
2019-02-22 00:00:00.000000,2572874
2019-02-23 00:00:00.000000,2560990
2019-02-24 00:00:00.000000,2629864
2019-02-25 00:00:00.000000,2564927
2019-02-26 00:00:00.000000,2572402
2019-02-27 00:00:00.000000,2588926
2019-02-28 00:00:00.000000,2584779
2019-03-01 00:00:00.000000,2571415
2019-03-02 00:00:00.000000,2604468
2019-03-03 00:00:00.000000,2570151
2019-03-04 00:00:00.000000,2588694
2019-03-05 00:00:00.000000,2681111
2019-03-06 00:00:00.000000,2682981
2019-03-07 00:00:00.000000,2675155
