t,buy_price
2018-11-26 14:42:03.450617,4120086
2018-11-27 09:11:57.416819,4113526
2018-11-27 09:25:02.278945,4115277
2018-11-27 09:30:02.471632,4115277
2018-11-27 09:35:01.708791,4115080
2018-11-27 09:40:02.022667,4115080
2018-11-27 09:45:02.287279,4115609
2018-11-27 09:50:01.503420,4116209
2018-11-27 09:55:01.972615,4116209
2018-11-27 10:00:02.244652,4116106
2018-11-27 10:05:01.683468,4116156
2018-11-27 10:10:01.972274,4116156
2018-11-27 10:15:02.348766,4116205
2018-11-27 10:20:01.544516,4116205
2018-11-27 10:25:02.449025,4116651
2018-11-27 10:30:01.777567,4116784
2018-11-27 10:35:01.940093,4116784
2018-11-27 10:40:02.111012,4116915
2018-11-27 10:45:02.455327,4116691
2018-11-27 10:50:01.638172,4116691
2018-11-27 10:55:02.168900,4117838
2018-11-27 11:00:02.306471,4117838
2018-11-27 11:05:01.776714,4117703
2018-11-27 11:10:02.437427,4117650
2018-11-27 11:15:01.657198,4117650
2018-11-27 11:20:02.145482,4117822
2018-11-27 11:25:02.417710,4116676
2018-11-27 11:30:01.766528,4116676
2018-11-27 11:35:02.005720,4115839
2018-11-27 11:40:02.355891,4115839
2018-11-27 11:45:01.614270,4113324
2018-11-27 11:50:01.696957,4112685
2018-11-27 11:55:01.913573,4112685
2018-11-27 12:00:02.481040,4113272
2018-11-27 12:05:01.959406,4113361
2018-11-27 12:10:02.321946,4113361
2018-11-27 12:15:01.509210,4113653
2018-11-27 12:20:01.815682,4113653
2018-11-27 12:25:01.450294,4113844
2018-11-27 12:30:02.206733,4113541
2018-11-27 12:35:01.569187,4113541
2018-11-27 12:40:01.760805,4114249
2018-11-27 12:45:02.261897,4115358
2018-11-27 12:50:01.746349,4115358
2018-11-27 12:55:02.381045,4113595
2018-11-27 13:00:01.948709,4113595
2018-11-27 13:05:01.574494,4114019
2018-11-27 13:10:02.179752,4113204
2018-11-27 13:15:01.626398,4113204
2018-11-27 13:20:01.985784,4112631
2018-11-27 13:25:02.278643,4111972
2018-11-27 13:30:01.609640,4111972
2018-11-27 13:35:02.146108,4113360
2018-11-27 13:40:02.414489,4113360
2018-11-27 13:45:01.632874,4112459
2018-11-27 13:50:02.186239,4112811
2018-11-27 13:55:01.620396,4112811
2018-11-27 14:00:02.156915,4111427
2018-11-27 14:05:01.623864,4110965
2018-11-27 14:10:01.985290,4110965
2018-11-27 14:15:02.309931,4110175
2018-11-27 14:20:01.844178,4110175
2018-11-27 14:25:02.331802,4110122
2018-11-27 14:30:01.938142,4109986
2018-11-27 14:35:02.388775,4109986
2018-11-27 14:40:01.988338,4110244
2018-11-27 14:45:02.665684,4110325
2018-11-27 14:50:01.932919,4110325
2018-11-27 14:55:02.193349,4108855
2018-11-27 15:00:01.795589,4108855
2018-11-27 15:05:02.191104,4109572
2018-11-27 15:10:02.625740,4112601
2018-11-27 15:15:02.048683,4112601
2018-11-27 15:20:02.528790,4112710
2018-11-27 15:25:03.305238,4113794
2018-11-27 15:30:01.790814,4113794
2018-11-27 15:35:02.483739,4112683
2018-11-27 15:40:01.785010,4112683
2018-11-27 15:45:02.412604,4112791
2018-11-27 15:50:01.725263,4114439
2018-11-27 15:55:02.340903,4114439
2018-11-27 16:00:01.937939,4114888
2018-11-27 16:05:02.389940,4115894
2018-11-27 16:10:01.803715,4115894
2018-11-27 16:15:02.317053,4115722
2018-11-27 16:20:01.979520,4115722
2018-11-27 16:25:02.368307,4115860
2018-11-27 16:30:01.834657,4116219
2018-11-27 16:35:02.453805,4116219
2018-11-27 16:40:01.831705,4117003
2018-11-27 16:45:02.345810,4116598
2018-11-27 16:50:01.585982,4116598
2018-11-27 16:55:02.033809,4114772
2018-11-27 17:00:01.534915,4114772
2018-11-27 17:05:02.325310,4111020
2018-11-27 17:10:01.797280,4108600
2018-11-27 17:15:02.340636,4108600
2018-11-27 17:20:01.696190,4107152
2018-11-27 17:25:02.058412,4106157
2018-11-27 17:30:02.515912,4106157
2018-11-27 17:35:02.074559,4106303
2018-11-27 17:40:02.518708,4106303
2018-11-27 17:45:01.901542,4103766
2018-11-27 17:50:02.474597,4103286
2018-11-27 17:55:01.856352,4103286
2018-11-27 18:00:02.377698,4103770
2018-11-27 18:05:01.914507,4102206
2018-11-27 18:10:02.351490,4102206
2018-11-27 18:15:01.973361,4101573
2018-11-27 18:20:02.476612,4101573
2018-11-27 18:25:01.816880,4102001
2018-11-27 18:30:02.442396,4102915
2018-11-27 18:35:01.838588,4102915
2018-11-27 18:40:02.262930,4102112
2018-11-27 18:45:01.949850,4106687
2018-11-27 18:50:02.393639,4106687
2018-11-27 18:55:01.926478,4107390
2018-11-27 19:00:01.549746,4107390
2018-11-27 19:05:02.290841,4110780
2018-11-27 19:10:01.821352,4110780
2018-11-27 19:15:02.429669,4109480
2018-11-27 19:20:02.311983,4109544
2018-11-27 19:25:01.983537,4109544
2018-11-27 19:30:02.381102,4102984
2018-11-27 19:35:01.935910,4103899
2018-11-27 19:40:04.828124,4103899
2018-11-27 19:45:08.544011,4104421
2018-11-27 19:50:01.966836,4104421
2018-11-27 19:55:02.341736,4103868
2018-11-27 20:00:01.589871,4102685
2018-11-27 20:05:02.274812,4102685
2018-11-27 20:10:02.314509,4103596
2018-11-27 20:15:01.866500,4103419
2018-11-27 20:20:02.551260,4103419
2018-11-27 20:25:01.908746,4105901
2018-11-27 20:30:02.480583,4105901
2018-11-27 20:35:02.191204,4107321
2018-11-27 20:40:02.073837,4106495
2018-11-27 20:45:01.823871,4106495
2018-11-27 20:50:01.585983,4106407
2018-11-27 20:55:02.236095,4105111
2018-11-27 21:00:01.788854,4105111
2018-11-27 21:05:02.359073,4106829
2018-11-27 21:10:01.756759,4106829
2018-11-27 21:15:02.342802,4106348
2018-11-27 21:20:01.891906,4105167
2018-11-27 21:25:02.321395,4105167
2018-11-27 21:30:01.770105,4104279
2018-11-27 21:35:01.848495,4104912
2018-11-27 21:40:02.383511,4104912
2018-11-27 21:45:01.926997,4105489
2018-11-27 21:50:02.329277,4105489
2018-11-27 21:55:01.896366,4103624
2018-11-27 22:00:01.776372,4103818
2018-11-27 22:05:02.474082,4103818
2018-11-27 22:10:01.743349,4103145
2018-11-27 22:15:02.282740,4103432
2018-11-27 22:20:01.901329,4103432
2018-11-27 22:25:01.784931,4104583
2018-11-27 22:30:02.322331,4104583
2018-11-27 22:35:01.861314,4101799
2018-11-27 22:40:02.299362,4100961
2018-11-27 22:45:01.980702,4100961
2018-11-27 22:50:01.911283,4100916
2018-11-27 22:55:01.832050,4099748
2018-11-27 23:00:02.294229,4099748
2018-11-27 23:05:01.606116,4100216
2018-11-27 23:10:02.178001,4100216
2018-11-27 23:15:01.776579,4098388
2018-11-27 23:20:02.308654,4097066
2018-11-27 23:25:01.735739,4097066
2018-11-27 23:30:02.369370,4097209
2018-11-27 23:35:02.292038,4099565
2018-11-27 23:40:02.053744,4099565
2018-11-27 23:45:01.586270,4099293
2018-11-27 23:50:02.063676,4099293
2018-11-27 23:55:01.671059,4099986
2018-11-28 00:00:02.284946,4098868
2018-11-28 00:05:01.688063,4098868
2018-11-28 00:10:02.273076,4101238
2018-11-28 00:15:02.445599,4103344
2018-11-28 00:20:02.101518,4103344
2018-11-28 00:25:01.573637,4105713
2018-11-28 00:30:02.221558,4105713
2018-11-28 00:35:02.050211,4102506
2018-11-28 00:40:01.592341,4100158
2018-11-28 00:45:02.212730,4100158
2018-11-28 00:50:01.873829,4099208
2018-11-28 00:55:02.520422,4097752
2018-11-28 01:00:02.057574,4097752
2018-11-28 01:05:01.707164,4095844
2018-11-28 01:10:02.286689,4095844
2018-11-28 01:15:01.899966,4095765
2018-11-28 01:20:02.464931,4095141
2018-11-28 01:25:02.094963,4095141
2018-11-28 01:30:01.768901,4095304
2018-11-28 01:35:02.540721,4095849
2018-11-28 01:40:02.202016,4095849
2018-11-28 01:45:01.718897,4095051
2018-11-28 01:50:02.331579,4095051
2018-11-28 01:55:02.153843,4093943
2018-11-28 02:00:01.720035,4094455
2018-11-28 02:05:02.538810,4094455
2018-11-28 02:10:02.023383,4093904
2018-11-28 02:15:01.686253,4092957
2018-11-28 02:20:02.531646,4092957
2018-11-28 02:25:02.201018,4093154
2018-11-28 02:30:01.686069,4093154
2018-11-28 02:35:02.222025,4090290
2018-11-28 02:40:01.814967,4092058
2018-11-28 02:45:02.461149,4092058
2018-11-28 02:50:01.764165,4092068
2018-11-28 02:55:02.237852,4092946
2018-11-28 03:00:01.795943,4092946
2018-11-28 03:05:02.465973,4090670
2018-11-28 03:10:01.916551,4090670
2018-11-28 03:15:01.585856,4092301
2018-11-28 03:20:01.733699,4093104
2018-11-28 03:25:02.158845,4093104
2018-11-28 03:30:01.575406,4095158
2018-11-28 03:35:01.921327,4095446
2018-11-28 03:40:03.232771,4095446
2018-11-28 03:45:02.138752,4095246
2018-11-28 03:50:01.775864,4095246
2018-11-28 03:55:02.420166,4096469
2018-11-28 04:00:02.105666,4096746
2018-11-28 04:05:01.804653,4096746
2018-11-28 04:10:02.449671,4096991
2018-11-28 04:15:02.114236,4097516
2018-11-28 04:20:01.761946,4097516
2018-11-28 04:25:02.481923,4094245
2018-11-28 04:30:01.505538,4094245
2018-11-28 04:35:02.285726,4093944
2018-11-28 04:40:01.933202,4093593
2018-11-28 04:45:02.357948,4093593
2018-11-28 04:50:01.657106,4092450
2018-11-28 04:55:02.260799,4091951
2018-11-28 05:00:01.961905,4091951
2018-11-28 05:05:01.592311,4089734
2018-11-28 05:10:02.228115,4089734
2018-11-28 05:15:01.732455,4088752
2018-11-28 05:20:02.352983,4088856
2018-11-28 05:25:01.928317,4088856
2018-11-28 05:30:02.324351,4096676
2018-11-28 05:35:01.750560,4097910
2018-11-28 05:40:02.230502,4097910
2018-11-28 05:45:01.786932,4097816
2018-11-28 05:50:02.390139,4097816
2018-11-28 05:55:02.000894,4096942
2018-11-28 06:00:01.581249,4094355
2018-11-28 06:05:01.508337,4094355
2018-11-28 06:10:02.364182,4097597
2018-11-28 06:15:02.102143,4098230
2018-11-28 06:20:01.660610,4098230
2018-11-28 06:25:02.467690,4095244
2018-11-28 06:30:01.829790,4095244
2018-11-28 06:35:02.400543,4093123
2018-11-28 06:40:02.315090,4092214
2018-11-28 06:45:02.142400,4092214
2018-11-28 06:50:01.578404,4092052
2018-11-28 06:55:02.161875,4095138
2018-11-28 07:00:01.641964,4095138
2018-11-28 07:05:02.003601,4094244
2018-11-28 07:10:01.505446,4094244
2018-11-28 07:15:02.309454,4091306
2018-11-28 07:20:01.821203,4091037
2018-11-28 07:25:02.199372,4091037
2018-11-28 07:30:01.854977,4090934
2018-11-28 07:35:02.462464,4092195
2018-11-28 07:40:01.939672,4092195
2018-11-28 07:45:02.284259,4093609
2018-11-28 07:50:01.609651,4093609
2018-11-28 07:55:01.913544,4094572
2018-11-28 08:00:01.510756,4097412
2018-11-28 08:05:02.103174,4097412
2018-11-28 08:10:02.655620,4099281
2018-11-28 08:15:02.134887,4101161
2018-11-28 08:20:02.502191,4101161
2018-11-28 08:25:02.098789,4103322
2018-11-28 08:30:02.404175,4103322
2018-11-28 08:35:01.875579,4105179
2018-11-28 08:40:02.286261,4101059
2018-11-28 08:45:02.412770,4101059
2018-11-28 08:50:01.594065,4100034
2018-11-28 08:55:02.041954,4099740
2018-11-28 09:00:01.690355,4099740
2018-11-28 09:05:01.564911,4100114
2018-11-28 09:10:01.755318,4100114
2018-11-28 09:15:02.284625,4099251
2018-11-28 09:20:01.655061,4095458
2018-11-28 09:25:02.171619,4095458
2018-11-28 09:30:01.789931,4090502
2018-11-28 09:35:01.899086,4097909
2018-11-28 09:40:02.243809,4097909
2018-11-28 09:45:01.548621,4097108
2018-11-28 09:50:02.014488,4097108
2018-11-28 09:55:02.533199,4101101
2018-11-28 10:00:01.898275,4100778
2018-11-28 10:05:02.353907,4100778
2018-11-28 10:10:01.994700,4101564
2018-11-28 10:15:01.539239,4099907
2018-11-28 10:20:01.850098,4099907
2018-11-28 10:25:02.404410,4099477
2018-11-28 10:30:01.730176,4099477
2018-11-28 10:35:02.199495,4100552
2018-11-28 10:40:01.643722,4103728
2018-11-28 10:45:02.019116,4103728
2018-11-28 10:50:01.580411,4103990
2018-11-28 10:55:02.141595,4103422
2018-11-28 11:00:01.920696,4103422
2018-11-28 11:05:02.455962,4100560
2018-11-28 11:10:01.923574,4100560
2018-11-28 11:15:01.539049,4100560
2018-11-28 11:20:02.048205,4105527
2018-11-28 11:25:01.586782,4105527
2018-11-28 11:30:02.228267,4107102
2018-11-28 11:35:01.758917,4100923
2018-11-28 11:40:02.215445,4100923
2018-11-28 11:45:01.859930,4101441
2018-11-28 11:50:02.175635,4101441
2018-11-28 11:55:01.838741,4100281
2018-11-28 12:00:02.377513,4104850
2018-11-28 12:05:02.043875,4104850
2018-11-28 12:10:01.518709,4103825
2018-11-28 12:15:01.995296,4103543
2018-11-28 12:20:02.361206,4103543
2018-11-28 12:25:02.079364,4102986
2018-11-28 12:30:01.611221,4102986
2018-11-28 12:35:01.461857,4104214
2018-11-28 12:40:01.934036,4104260
2018-11-28 12:45:02.369378,4104260
2018-11-28 12:50:02.067870,4104894
2018-11-28 12:55:02.442429,4103148
2018-11-28 13:00:02.071943,4103148
2018-11-28 13:05:01.524582,4098800
2018-11-28 13:10:01.957283,4098800
2018-11-28 13:15:01.637858,4097132
2018-11-28 13:20:02.062967,4097763
2018-11-28 13:25:01.533622,4097763
2018-11-28 13:30:02.097459,4095862
2018-11-28 13:35:01.714237,4095264
2018-11-28 13:40:02.182070,4095264
2018-11-28 13:45:01.584778,4094037
2018-11-28 13:50:01.991646,4094037
2018-11-28 13:55:02.409538,4093581
2018-11-28 14:00:02.119095,4093337
2018-11-28 14:05:01.904953,4093337
2018-11-28 14:10:01.497227,4097386
2018-11-28 14:15:02.415737,4098608
2018-11-28 14:20:02.061123,4098608
2018-11-28 14:25:01.556572,4101647
2018-11-28 14:30:02.089404,4101647
2018-11-28 14:35:01.663426,4106064
2018-11-28 14:40:02.050396,4104772
2018-11-28 14:45:02.437772,4104772
2018-11-28 14:50:02.178287,4105328
2018-11-28 14:55:02.650089,4105687
2018-11-28 15:00:02.276352,4105687
2018-11-28 15:05:01.796662,4102509
2018-11-28 15:10:02.508194,4102509
2018-11-28 15:15:02.004726,4102705
2018-11-28 15:20:02.519958,4103548
2018-11-28 15:25:01.926943,4103548
2018-11-28 15:30:02.630945,4102957
2018-11-28 15:35:02.169076,4101135
2018-11-28 15:40:02.090562,4101135
2018-11-28 15:45:01.554128,4100710
2018-11-28 15:50:02.343914,4100710
2018-11-28 15:55:01.797030,4103600
2018-11-28 16:00:02.419725,4107099
2018-11-28 16:05:01.781735,4107099
2018-11-28 16:10:02.233417,4116867
2018-11-28 16:15:01.967236,4122138
2018-11-28 16:20:01.845625,4122138
2018-11-28 16:25:02.217705,4124708
2018-11-28 16:30:01.722077,4124708
2018-11-28 16:35:01.561303,4125012
2018-11-28 16:40:02.220019,4131471
2018-11-28 16:45:01.828024,4131471
2018-11-28 16:50:02.493830,4141459
2018-11-28 16:55:02.067233,4148475
2018-11-28 17:00:02.442182,4148475
2018-11-28 17:05:02.016040,4153966
2018-11-28 17:10:01.900557,4153966
2018-11-28 17:15:02.455487,4159603
2018-11-28 17:20:01.980600,4174780
2018-11-28 17:25:01.652014,4174780
2018-11-28 17:30:02.338230,4192014
2018-11-28 17:35:02.122365,4214159
2018-11-28 17:40:01.595416,4214159
2018-11-28 17:45:02.475971,4210996
2018-11-28 17:50:02.129734,4210996
2018-11-28 17:55:01.777488,4226374
2018-11-28 18:00:02.228887,4225860
2018-11-28 18:05:01.802224,4225860
2018-11-28 18:10:02.511033,4202979
2018-11-28 18:15:02.483745,4187579
