t,buy_high
2018-11-26 00:00:00.000000,4120086
2018-11-27 00:00:00.000000,4117838
2018-11-28 00:00:00.000000,4226374
2018-11-29 00:00:00.000000,4152766
2018-11-30 00:00:00.000000,4139570
2018-12-01 00:00:00.000000,4213732
2018-12-02 00:00:00.000000,4254982
2018-12-03 00:00:00.000000,4190932
2018-12-04 00:00:00.000000,4168566
2018-12-05 00:00:00.000000,4144707
2018-12-06 00:00:00.000000,4112767
2018-12-07 00:00:00.000000,4089285
2018-12-08 00:00:00.000000,4081606
2018-12-09 00:00:00.000000,4118465
2018-12-10 00:00:00.000000,4063507
2018-12-11 00:00:00.000000,4059664
2018-12-12 00:00:00.000000,4044398
2018-12-13 00:00:00.000000,4110184
2018-12-14 00:00:00.000000,4184727
2018-12-15 00:00:00.000000,4229796
2018-12-16 00:00:00.000000,4371803
2018-12-17 00:00:00.000000,4259427
2018-12-18 00:00:00.000000,4285040
2018-12-19 00:00:00.000000,4293925
2018-12-20 00:00:00.000000,4277610
2018-12-21 00:00:00.000000,4319186
2018-12-22 00:00:00.000000,4258122
2018-12-23 00:00:00.000000,4258357
2018-12-24 00:00:00.000000,4314134
2018-12-25 00:00:00.000000,4429731
2018-12-26 00:00:00.000000,4494232
2018-12-27 00:00:00.000000,4517085
2018-12-28 00:00:00.000000,4485798
2018-12-29 00:00:00.000000,4555862
2018-12-30 00:00:00.000000,4557087
2018-12-31 00:00:00.000000,4489700
2019-01-01 00:00:00.000000,4432540
2019-01-02 00:00:00.000000,4375144
2019-01-03 00:00:00.000000,4324421
2019-01-04 00:00:00.000000,4268058
2019-01-05 00:00:00.000000,4229058
2019-01-06 00:00:00.000000,4215330
2019-01-07 00:00:00.000000,4186538
2019-01-08 00:00:00.000000,4128509
2019-01-09 00:00:00.000000,4081852
2019-01-10 00:00:00.000000,3993457
2019-01-11 00:00:00.000000,3897974
2019-01-12 00:00:00.000000,3775739
2019-01-13 00:00:00.000000,3730349
2019-01-14 00:00:00.000000,3686593
2019-01-15 00:00:00.000000,3713833
2019-01-16 00:00:00.000000,3916555
2019-01-17 00:00:00.000000,3954018
2019-01-18 00:00:00.000000,4074617
2019-01-19 00:00:00.000000,3993393
2019-01-20 00:00:00.000000,4112832
2019-01-21 00:00:00.000000,4074649
2019-01-22 00:00:00.000000,4022278
2019-01-23 00:00:00.000000,4004934
2019-01-24 00:00:00.000000,4035797
2019-01-25 00:00:00.000000,4038440
2019-01-26 00:00:00.000000,4215904
2019-01-27 00:00:00.000000,4336316
2019-01-28 00:00:00.000000,4232319
2019-01-29 00:00:00.000000,4168753
2019-01-30 00:00:00.000000,4140546
2019-01-31 00:00:00.000000,4107068
2019-02-01 00:00:00.000000,4079718
2019-02-02 00:00:00.000000,4075313
2019-02-03 00:00:00.000000,4079530
2019-02-04 00:00:00.000000,4081787
2019-02-05 00:00:00.000000,4063305
2019-02-06 00:00:00.000000,4030446
2019-02-07 00:00:00.000000,3993883
2019-02-08 00:00:00.000000,3977003
2019-02-09 00:00:00.000000,3958158
2019-02-10 00:00:00.000000,3984923
2019-02-11 00:00:00.000000,3961129
2019-02-12 00:00:00.000000,3930610
2019-02-13 00:00:00.000000,3908720
2019-02-14 00:00:00.000000,3891272
2019-02-15 00:00:00.000000,3883460
2019-02-16 00:00:00.000000,3948198
2019-02-17 00:00:00.000000,3960634
2019-02-18 00:00:00.000000,3952888
2019-02-19 00:00:00.000000,4077896
2019-02-20 00:00:00.000000,3971743
2019-02-21 00:00:00.000000,3966566
2019-02-22 00:00:00.000000,3943695
2019-02-23 00:00:00.000000,3929482
2019-02-24 00:00:00.000000,3922521
2019-02-25 00:00:00.000000,3904537
2019-02-26 00:00:00.000000,3895605
2019-02-27 00:00:00.000000,3892434
2019-02-28 00:00:00.000000,3881517
2019-03-01 00:00:00.000000,3868810
2019-03-02 00:00:00.000000,3840487
2019-03-03 00:00:00.000000,3836645
2019-03-04 00:00:00.000000,3826250
2019-03-05 00:00:00.000000,3817371
2019-03-06 00:00:00.000000,3802709
2019-03-07 00:00:00.000000,3832665
