t,buy_price
2018-11-26 14:40:48.262847,59776
2018-11-27 09:11:57.416819,59913
2018-11-27 09:25:02.278945,59782
2018-11-27 09:30:02.471632,59782
2018-11-27 09:35:01.708791,59787
2018-11-27 09:40:02.022667,59787
2018-11-27 09:45:02.287279,59778
2018-11-27 09:50:01.503420,59786
2018-11-27 09:55:01.972615,59786
2018-11-27 10:00:02.244652,59782
2018-11-27 10:05:01.683468,59777
2018-11-27 10:10:01.972274,59777
2018-11-27 10:15:02.348766,59741
2018-11-27 10:20:01.544516,59741
2018-11-27 10:25:02.449025,59704
2018-11-27 10:30:01.777567,59654
2018-11-27 10:35:01.940093,59654
2018-11-27 10:40:02.111012,59644
2018-11-27 10:45:02.455327,59646
2018-11-27 10:50:01.638172,59646
2018-11-27 10:55:02.168900,59640
2018-11-27 11:00:02.306471,59640
2018-11-27 11:05:01.776714,59679
2018-11-27 11:10:02.437427,59678
2018-11-27 11:15:01.657198,59678
2018-11-27 11:20:02.145482,59697
2018-11-27 11:25:02.417710,59736
2018-11-27 11:30:01.766528,59736
2018-11-27 11:35:02.005720,59762
2018-11-27 11:40:02.355891,59762
2018-11-27 11:45:01.614270,59764
2018-11-27 11:50:01.696957,59783
2018-11-27 11:55:01.913573,59783
2018-11-27 12:00:02.481040,59816
2018-11-27 12:05:01.959406,59836
2018-11-27 12:10:02.321946,59836
2018-11-27 12:15:01.509210,59896
2018-11-27 12:20:01.815682,59896
2018-11-27 12:25:01.450294,59907
2018-11-27 12:30:02.206733,59933
2018-11-27 12:35:01.569187,59933
2018-11-27 12:40:01.760805,59942
2018-11-27 12:45:02.261897,59959
2018-11-27 12:50:01.746349,59959
2018-11-27 12:55:02.381045,59958
2018-11-27 13:00:01.948709,59958
2018-11-27 13:05:01.574494,59943
2018-11-27 13:10:02.179752,59896
2018-11-27 13:15:01.626398,59896
2018-11-27 13:20:01.985784,59889
2018-11-27 13:25:02.278643,59888
2018-11-27 13:30:01.609640,59888
2018-11-27 13:35:02.146108,59889
2018-11-27 13:40:02.414489,59889
2018-11-27 13:45:01.632874,59891
2018-11-27 13:50:02.186239,59883
2018-11-27 13:55:01.620396,59883
2018-11-27 14:00:02.156915,59887
2018-11-27 14:05:01.623864,59874
2018-11-27 14:10:01.985290,59874
2018-11-27 14:15:02.309931,59755
2018-11-27 14:20:01.844178,59755
2018-11-27 14:25:02.331802,59693
2018-11-27 14:30:01.938142,59662
2018-11-27 14:35:02.388775,59662
2018-11-27 14:40:01.988338,59646
2018-11-27 14:45:02.665684,59631
2018-11-27 14:50:01.932919,59631
2018-11-27 14:55:02.193349,59628
2018-11-27 15:00:01.795589,59628
2018-11-27 15:05:02.191104,59567
2018-11-27 15:10:02.625740,59573
2018-11-27 15:15:02.048683,59573
2018-11-27 15:20:02.528790,59586
2018-11-27 15:25:03.305238,59589
2018-11-27 15:30:01.790814,59589
2018-11-27 15:35:02.483739,59590
2018-11-27 15:40:01.785010,59590
2018-11-27 15:45:02.412604,59585
2018-11-27 15:50:01.725263,59580
2018-11-27 15:55:02.340903,59580
2018-11-27 16:00:01.937939,59557
2018-11-27 16:05:02.389940,59677
2018-11-27 16:10:01.803715,59677
2018-11-27 16:15:02.317053,59683
2018-11-27 16:20:01.979520,59683
2018-11-27 16:25:02.368307,59707
2018-11-27 16:30:01.834657,59717
2018-11-27 16:35:02.453805,59717
2018-11-27 16:40:01.831705,59742
2018-11-27 16:45:02.345810,59767
2018-11-27 16:50:01.585982,59767
2018-11-27 16:55:02.033809,59774
2018-11-27 17:00:01.534915,59774
2018-11-27 17:05:02.325310,59686
2018-11-27 17:10:01.797280,59685
2018-11-27 17:15:02.340636,59685
2018-11-27 17:20:01.696190,59675
2018-11-27 17:25:02.058412,59669
2018-11-27 17:30:02.515912,59669
2018-11-27 17:35:02.074559,59660
2018-11-27 17:40:02.518708,59660
2018-11-27 17:45:01.901542,59637
2018-11-27 17:50:02.474597,59682
2018-11-27 17:55:01.856352,59682
2018-11-27 18:00:02.377698,59729
2018-11-27 18:05:01.914507,59952
2018-11-27 18:10:02.351490,59952
2018-11-27 18:15:01.973361,59939
