t,buy_high
2018-11-26 00:00:00.000000,59776
2018-11-27 00:00:00.000000,59959
2018-11-28 00:00:00.000000,59973
2018-11-29 00:00:00.000000,59916
2018-11-30 00:00:00.000000,59970
2018-12-01 00:00:00.000000,59955
2018-12-02 00:00:00.000000,59982
2018-12-03 00:00:00.000000,59987
2018-12-04 00:00:00.000000,59971
2018-12-05 00:00:00.000000,59947
2018-12-06 00:00:00.000000,59934
2018-12-07 00:00:00.000000,59979
2018-12-08 00:00:00.000000,59979
2018-12-09 00:00:00.000000,59967
2018-12-10 00:00:00.000000,59979
2018-12-11 00:00:00.000000,59862
2018-12-12 00:00:00.000000,59973
2018-12-13 00:00:00.000000,64657
2018-12-14 00:00:00.000000,59995
2018-12-15 00:00:00.000000,69431
2018-12-16 00:00:00.000000,77929
2018-12-17 00:00:00.000000,60201
2018-12-18 00:00:00.000000,59986
2018-12-19 00:00:00.000000,59922
2018-12-20 00:00:00.000000,59892
2018-12-21 00:00:00.000000,59964
2018-12-22 00:00:00.000000,59966
2018-12-23 00:00:00.000000,59985
2018-12-24 00:00:00.000000,59944
2018-12-25 00:00:00.000000,59963
2018-12-26 00:00:00.000000,66483
2018-12-27 00:00:00.000000,62230
2018-12-28 00:00:00.000000,59965
2018-12-29 00:00:00.000000,59927
2018-12-30 00:00:00.000000,59931
2018-12-31 00:00:00.000000,59984
2019-01-01 00:00:00.000000,59967
2019-01-02 00:00:00.000000,59899
2019-01-03 00:00:00.000000,59902
2019-01-04 00:00:00.000000,59961
2019-01-05 00:00:00.000000,59960
2019-01-06 00:00:00.000000,59978
2019-01-07 00:00:00.000000,59938
2019-01-08 00:00:00.000000,59987
2019-01-09 00:00:00.000000,59961
2019-01-10 00:00:00.000000,59925
2019-01-11 00:00:00.000000,59970
2019-01-12 00:00:00.000000,59930
2019-01-13 00:00:00.000000,59925
2019-01-14 00:00:00.000000,59951
2019-01-15 00:00:00.000000,59924
2019-01-16 00:00:00.000000,59888
2019-01-17 00:00:00.000000,59965
2019-01-18 00:00:00.000000,59900
2019-01-19 00:00:00.000000,59966
2019-01-20 00:00:00.000000,59969
2019-01-21 00:00:00.000000,59893
2019-01-22 00:00:00.000000,59963
2019-01-23 00:00:00.000000,59936
2019-01-24 00:00:00.000000,59965
2019-01-25 00:00:00.000000,59967
2019-01-26 00:00:00.000000,59971
2019-01-27 00:00:00.000000,59958
2019-01-28 00:00:00.000000,59892
2019-01-29 00:00:00.000000,59910
2019-01-30 00:00:00.000000,59937
2019-01-31 00:00:00.000000,59972
2019-02-01 00:00:00.000000,59953
2019-02-02 00:00:00.000000,59972
2019-02-03 00:00:00.000000,59957
2019-02-04 00:00:00.000000,62499
2019-02-05 00:00:00.000000,59892
2019-02-06 00:00:00.000000,59963
2019-02-07 00:00:00.000000,59994
2019-02-08 00:00:00.000000,60419
2019-02-09 00:00:00.000000,59915
2019-02-10 00:00:00.000000,59995
2019-02-11 00:00:00.000000,59971
2019-02-12 00:00:00.000000,59987
2019-02-13 00:00:00.000000,59974
2019-02-14 00:00:00.000000,59940
2019-02-15 00:00:00.000000,59918
2019-02-16 00:00:00.000000,59937
2019-02-17 00:00:00.000000,59922
2019-02-18 00:00:00.000000,59960
2019-02-19 00:00:00.000000,59969
2019-02-20 00:00:00.000000,59958
2019-02-21 00:00:00.000000,59967
2019-02-22 00:00:00.000000,59879
2019-02-23 00:00:00.000000,59936
2019-02-24 00:00:00.000000,59920
2019-02-25 00:00:00.000000,59855
2019-02-26 00:00:00.000000,59964
2019-02-27 00:00:00.000000,59995
2019-02-28 00:00:00.000000,59995
2019-03-01 00:00:00.000000,59961
2019-03-02 00:00:00.000000,62895
2019-03-03 00:00:00.000000,65234
2019-03-04 00:00:00.000000,59987
2019-03-05 00:00:00.000000,59986
2019-03-06 00:00:00.000000,60015
2019-03-07 00:00:00.000000,59962
