t,buy_price
2018-11-26 14:40:40.312722,55372
2018-11-27 09:11:57.416819,75333
2018-11-27 09:25:02.278945,71000
2018-11-27 09:30:02.471632,71000
2018-11-27 09:35:01.708791,71000
2018-11-27 09:40:02.022667,71000
2018-11-27 09:45:02.287279,75000
2018-11-27 09:50:01.503420,0
2018-11-27 09:55:01.972615,0
2018-11-27 10:00:02.244652,0
2018-11-27 10:05:01.683468,0
2018-11-27 10:10:01.972274,0
2018-11-27 10:15:02.348766,0
2018-11-27 10:20:01.544516,0
2018-11-27 10:25:02.449025,0
2018-11-27 10:30:01.777567,75000
2018-11-27 10:35:01.940093,75000
2018-11-27 10:40:02.111012,67000
2018-11-27 10:45:02.455327,67000
2018-11-27 10:50:01.638172,67000
2018-11-27 10:55:02.168900,67000
2018-11-27 11:00:02.306471,67000
2018-11-27 11:05:01.776714,67000
2018-11-27 11:10:02.437427,67000
2018-11-27 11:15:01.657198,67000
2018-11-27 11:20:02.145482,67000
2018-11-27 11:25:02.417710,67000
2018-11-27 11:30:01.766528,67000
2018-11-27 11:35:02.005720,0
2018-11-27 11:40:02.355891,0
2018-11-27 11:45:01.614270,0
2018-11-27 11:50:01.696957,65000
2018-11-27 11:55:01.913573,65000
2018-11-27 12:00:02.481040,65000
2018-11-27 12:05:01.959406,65000
2018-11-27 12:10:02.321946,65000
2018-11-27 12:15:01.509210,65000
2018-11-27 12:20:01.815682,65000
2018-11-27 12:25:01.450294,65000
2018-11-27 12:30:02.206733,69666
2018-11-27 12:35:01.569187,69666
2018-11-27 12:40:01.760805,69500
2018-11-27 12:45:02.261897,69500
2018-11-27 12:50:01.746349,69500
2018-11-27 12:55:02.381045,71000
2018-11-27 13:00:01.948709,71000
2018-11-27 13:05:01.574494,71000
2018-11-27 13:10:02.179752,71000
2018-11-27 13:15:01.626398,71000
2018-11-27 13:20:01.985784,74000
2018-11-27 13:25:02.278643,73200
2018-11-27 13:30:01.609640,73200
2018-11-27 13:35:02.146108,71750
2018-11-27 13:40:02.414489,71750
2018-11-27 13:45:01.632874,72666
2018-11-27 13:50:02.186239,72666
2018-11-27 13:55:01.620396,72666
2018-11-27 14:00:02.156915,72666
2018-11-27 14:05:01.623864,72666
2018-11-27 14:10:01.985290,72666
2018-11-27 14:15:02.309931,72666
2018-11-27 14:20:01.844178,72666
2018-11-27 14:25:02.331802,0
2018-11-27 14:30:01.938142,75000
2018-11-27 14:35:02.388775,75000
2018-11-27 14:40:01.988338,72199
2018-11-27 14:45:02.665684,69752
2018-11-27 14:50:01.932919,69752
2018-11-27 14:55:02.193349,68644
2018-11-27 15:00:01.795589,68644
2018-11-27 15:05:02.191104,68644
2018-11-27 15:10:02.625740,68644
2018-11-27 15:15:02.048683,68644
2018-11-27 15:20:02.528790,68644
2018-11-27 15:25:03.305238,70890
2018-11-27 15:30:01.790814,70890
2018-11-27 15:35:02.483739,70316
2018-11-27 15:40:01.785010,70316
2018-11-27 15:45:02.412604,68700
2018-11-27 15:50:01.725263,78750
2018-11-27 15:55:02.340903,78750
2018-11-27 16:00:01.937939,78750
2018-11-27 16:05:02.389940,78750
2018-11-27 16:10:01.803715,78750
2018-11-27 16:15:02.317053,78750
2018-11-27 16:20:01.979520,78750
2018-11-27 16:25:02.368307,78750
2018-11-27 16:30:01.834657,0
2018-11-27 16:35:02.453805,0
2018-11-27 16:40:01.831705,71249
2018-11-27 16:45:02.345810,71099
2018-11-27 16:50:01.585982,71099
2018-11-27 16:55:02.033809,71099
2018-11-27 17:00:01.534915,71099
2018-11-27 17:05:02.325310,71799
2018-11-27 17:10:01.797280,72297
2018-11-27 17:15:02.340636,72297
2018-11-27 17:20:01.696190,72297
2018-11-27 17:25:02.058412,71736
2018-11-27 17:30:02.515912,71736
2018-11-27 17:35:02.074559,71940
2018-11-27 17:40:02.518708,71940
2018-11-27 17:45:01.901542,73395
2018-11-27 17:50:02.474597,72885
2018-11-27 17:55:01.856352,72885
2018-11-27 18:00:02.377698,72251
2018-11-27 18:05:01.914507,72251
2018-11-27 18:10:02.351490,72251
2018-11-27 18:15:01.973361,70025
2018-11-27 18:20:02.476612,70025
2018-11-27 18:25:01.816880,70653
2018-11-27 18:30:02.442396,68127
2018-11-27 18:35:01.838588,68127
2018-11-27 18:40:02.262930,68127
2018-11-27 18:45:01.949850,68559
