t,buy_high
2018-11-26 00:00:00.000000,55372
2018-11-27 00:00:00.000000,78750
2018-11-28 00:00:00.000000,80000
2018-11-29 00:00:00.000000,74999
2018-11-30 00:00:00.000000,80000
2018-12-01 00:00:00.000000,80000
2018-12-02 00:00:00.000000,102500
2018-12-03 00:00:00.000000,139800
2018-12-04 00:00:00.000000,86195
2018-12-05 00:00:00.000000,105000
2018-12-06 00:00:00.000000,98838
2018-12-07 00:00:00.000000,84900
2018-12-08 00:00:00.000000,102500
2018-12-09 00:00:00.000000,103499
2018-12-10 00:00:00.000000,81999
2018-12-11 00:00:00.000000,73524
2018-12-12 00:00:00.000000,74354
2018-12-13 00:00:00.000000,71900
2018-12-14 00:00:00.000000,69846
2018-12-15 00:00:00.000000,69397
2018-12-16 00:00:00.000000,63699
2018-12-17 00:00:00.000000,61326
2018-12-18 00:00:00.000000,61326
2018-12-19 00:00:00.000000,56969
2018-12-20 00:00:00.000000,56966
2018-12-21 00:00:00.000000,53120
2018-12-22 00:00:00.000000,53000
2018-12-23 00:00:00.000000,56969
2018-12-24 00:00:00.000000,49719
2018-12-25 00:00:00.000000,52167
2018-12-26 00:00:00.000000,62000
2018-12-27 00:00:00.000000,62000
2018-12-28 00:00:00.000000,56999
2018-12-29 00:00:00.000000,49083
2018-12-30 00:00:00.000000,50000
2018-12-31 00:00:00.000000,74999
2019-01-01 00:00:00.000000,78972
2019-01-02 00:00:00.000000,152251
2019-01-03 00:00:00.000000,75640
2019-01-04 00:00:00.000000,95926
2019-01-05 00:00:00.000000,72000
2019-01-06 00:00:00.000000,60480
2019-01-07 00:00:00.000000,54876
2019-01-08 00:00:00.000000,54923
2019-01-09 00:00:00.000000,50493
2019-01-10 00:00:00.000000,51574
2019-01-11 00:00:00.000000,46810
2019-01-12 00:00:00.000000,45993
2019-01-13 00:00:00.000000,42497
2019-01-14 00:00:00.000000,41000
2019-01-15 00:00:00.000000,42000
2019-01-16 00:00:00.000000,42044
2019-01-17 00:00:00.000000,41469
2019-01-18 00:00:00.000000,43890
2019-01-19 00:00:00.000000,40453
2019-01-20 00:00:00.000000,50000
2019-01-21 00:00:00.000000,50000
2019-01-22 00:00:00.000000,50000
2019-01-23 00:00:00.000000,50500
2019-01-24 00:00:00.000000,100000
2019-01-25 00:00:00.000000,61497
2019-01-26 00:00:00.000000,59099
2019-01-27 00:00:00.000000,50000
2019-01-28 00:00:00.000000,52000
2019-01-29 00:00:00.000000,50017
2019-01-30 00:00:00.000000,49184
2019-01-31 00:00:00.000000,50000
2019-02-01 00:00:00.000000,46017
2019-02-02 00:00:00.000000,44993
2019-02-03 00:00:00.000000,44993
2019-02-04 00:00:00.000000,43993
2019-02-05 00:00:00.000000,43500
2019-02-06 00:00:00.000000,40000
2019-02-07 00:00:00.000000,40000
2019-02-08 00:00:00.000000,39993
2019-02-09 00:00:00.000000,38522
2019-02-10 00:00:00.000000,36000
2019-02-11 00:00:00.000000,35993
2019-02-12 00:00:00.000000,34993
2019-02-13 00:00:00.000000,32993
2019-02-14 00:00:00.000000,31993
2019-02-15 00:00:00.000000,32853
2019-02-16 00:00:00.000000,34190
2019-02-17 00:00:00.000000,41176
2019-02-18 00:00:00.000000,47800
2019-02-19 00:00:00.000000,47800
2019-02-20 00:00:00.000000,35000
2019-02-21 00:00:00.000000,36500
2019-02-22 00:00:00.000000,34993
2019-02-23 00:00:00.000000,34500
2019-02-24 00:00:00.000000,34180
2019-02-25 00:00:00.000000,33993
2019-02-26 00:00:00.000000,33000
2019-02-27 00:00:00.000000,49999
2019-02-28 00:00:00.000000,33509
2019-03-01 00:00:00.000000,31897
2019-03-02 00:00:00.000000,31993
2019-03-03 00:00:00.000000,31292
2019-03-04 00:00:00.000000,31493
2019-03-05 00:00:00.000000,35000
2019-03-06 00:00:00.000000,33153
2019-03-07 00:00:00.000000,33153
