t,buy_high
2018-11-26 00:00:00.000000,240291
2018-11-27 00:00:00.000000,240000
2018-11-28 00:00:00.000000,250000
2018-11-29 00:00:00.000000,256628
2018-11-30 00:00:00.000000,382545
2018-12-01 00:00:00.000000,1663752
2018-12-02 00:00:00.000000,289898
2018-12-03 00:00:00.000000,300000
2018-12-04 00:00:00.000000,282580
2018-12-05 00:00:00.000000,268342
2018-12-06 00:00:00.000000,377207
2018-12-07 00:00:00.000000,377207
2018-12-08 00:00:00.000000,246484
2018-12-09 00:00:00.000000,246484
2018-12-10 00:00:00.000000,245000
2018-12-11 00:00:00.000000,234798
2018-12-12 00:00:00.000000,283576
2018-12-13 00:00:00.000000,259898
2018-12-14 00:00:00.000000,259000
2018-12-15 00:00:00.000000,993000
2018-12-16 00:00:00.000000,252000
2018-12-17 00:00:00.000000,252000
2018-12-18 00:00:00.000000,240949
2018-12-19 00:00:00.000000,224000
2018-12-20 00:00:00.000000,209898
2018-12-21 00:00:00.000000,193364
2018-12-22 00:00:00.000000,193391
2018-12-23 00:00:00.000000,189499
2018-12-24 00:00:00.000000,182754
2018-12-25 00:00:00.000000,176638
2018-12-26 00:00:00.000000,176638
2018-12-27 00:00:00.000000,192999
2018-12-28 00:00:00.000000,170000
2018-12-29 00:00:00.000000,192999
2018-12-30 00:00:00.000000,262411
2018-12-31 00:00:00.000000,220000
2019-01-01 00:00:00.000000,220000
2019-01-02 00:00:00.000000,194026
2019-01-03 00:00:00.000000,461100
2019-01-04 00:00:00.000000,249995
2019-01-05 00:00:00.000000,245069
2019-01-06 00:00:00.000000,221500
2019-01-07 00:00:00.000000,197245
2019-01-08 00:00:00.000000,203535
2019-01-09 00:00:00.000000,264287
2019-01-10 00:00:00.000000,205000
2019-01-11 00:00:00.000000,182165
2019-01-12 00:00:00.000000,184999
2019-01-13 00:00:00.000000,165652
2019-01-14 00:00:00.000000,150793
2019-01-15 00:00:00.000000,145800
2019-01-16 00:00:00.000000,141000
2019-01-17 00:00:00.000000,136158
2019-01-18 00:00:00.000000,136172
2019-01-19 00:00:00.000000,143261
2019-01-20 00:00:00.000000,153924
2019-01-21 00:00:00.000000,140803
2019-01-22 00:00:00.000000,167083
2019-01-23 00:00:00.000000,139999
2019-01-24 00:00:00.000000,157000
2019-01-25 00:00:00.000000,175000
2019-01-26 00:00:00.000000,186712
2019-01-27 00:00:00.000000,148749
2019-01-28 00:00:00.000000,145000
2019-01-29 00:00:00.000000,189999
2019-01-30 00:00:00.000000,150450
2019-01-31 00:00:00.000000,168887
2019-02-01 00:00:00.000000,165000
2019-02-02 00:00:00.000000,170000
2019-02-03 00:00:00.000000,172499
2019-02-04 00:00:00.000000,169999
2019-02-05 00:00:00.000000,169999
2019-02-06 00:00:00.000000,159174
2019-02-07 00:00:00.000000,158200
2019-02-08 00:00:00.000000,149998
2019-02-09 00:00:00.000000,152874
2019-02-10 00:00:00.000000,150000
2019-02-11 00:00:00.000000,145000
2019-02-12 00:00:00.000000,144000
2019-02-13 00:00:00.000000,154780
2019-02-14 00:00:00.000000,144000
2019-02-15 00:00:00.000000,177777
2019-02-16 00:00:00.000000,177777
2019-02-17 00:00:00.000000,174999
2019-02-18 00:00:00.000000,210065
2019-02-19 00:00:00.000000,167617
2019-02-20 00:00:00.000000,158449
2019-02-21 00:00:00.000000,172526
2019-02-22 00:00:00.000000,244999
2019-02-23 00:00:00.000000,197499
2019-02-24 00:00:00.000000,180000
2019-02-25 00:00:00.000000,170000
2019-02-26 00:00:00.000000,160000
2019-02-27 00:00:00.000000,160000
2019-02-28 00:00:00.000000,992999
2019-03-01 00:00:00.000000,229999
2019-03-02 00:00:00.000000,164792
2019-03-03 00:00:00.000000,400513
2019-03-04 00:00:00.000000,165249
2019-03-05 00:00:00.000000,244999
2019-03-06 00:00:00.000000,174998
2019-03-07 00:00:00.000000,173000
