t,buy_price
2018-11-26 14:41:59.519140,102100
2018-11-27 09:11:57.416819,103374
2018-11-27 09:25:02.278945,102906
2018-11-27 09:30:02.471632,102906
2018-11-27 09:35:01.708791,103589
2018-11-27 09:40:02.022667,103589
2018-11-27 09:45:02.287279,104371
2018-11-27 09:50:01.503420,104567
2018-11-27 09:55:01.972615,104567
2018-11-27 10:00:02.244652,104567
2018-11-27 10:05:01.683468,106548
2018-11-27 10:10:01.972274,106548
2018-11-27 10:15:02.348766,106672
2018-11-27 10:20:01.544516,106672
2018-11-27 10:25:02.449025,106827
2018-11-27 10:30:01.777567,104802
2018-11-27 10:35:01.940093,104802
2018-11-27 10:40:02.111012,101604
2018-11-27 10:45:02.455327,100251
2018-11-27 10:50:01.638172,100251
2018-11-27 10:55:02.168900,100419
2018-11-27 11:00:02.306471,100419
2018-11-27 11:05:01.776714,99878
2018-11-27 11:10:02.437427,100105
2018-11-27 11:15:01.657198,100105
2018-11-27 11:20:02.145482,101094
2018-11-27 11:25:02.417710,101094
2018-11-27 11:30:01.766528,101094
2018-11-27 11:35:02.005720,102439
2018-11-27 11:40:02.355891,102439
2018-11-27 11:45:01.614270,104092
2018-11-27 11:50:01.696957,106200
2018-11-27 11:55:01.913573,106200
2018-11-27 12:00:02.481040,106200
2018-11-27 12:05:01.959406,105868
2018-11-27 12:10:02.321946,105868
2018-11-27 12:15:01.509210,105193
2018-11-27 12:20:01.815682,105193
2018-11-27 12:25:01.450294,104864
2018-11-27 12:30:02.206733,104537
2018-11-27 12:35:01.569187,104537
2018-11-27 12:40:01.760805,104400
2018-11-27 12:45:02.261897,104075
2018-11-27 12:50:01.746349,104075
2018-11-27 12:55:02.381045,103930
2018-11-27 13:00:01.948709,103930
2018-11-27 13:05:01.574494,103592
2018-11-27 13:10:02.179752,103074
2018-11-27 13:15:01.626398,103074
2018-11-27 13:20:01.985784,102729
2018-11-27 13:25:02.278643,102266
2018-11-27 13:30:01.609640,102266
2018-11-27 13:35:02.146108,102269
2018-11-27 13:40:02.414489,102269
2018-11-27 13:45:01.632874,102659
2018-11-27 13:50:02.186239,103466
2018-11-27 13:55:01.620396,103466
2018-11-27 14:00:02.156915,103759
2018-11-27 14:05:01.623864,103824
2018-11-27 14:10:01.985290,103824
2018-11-27 14:15:02.309931,105817
2018-11-27 14:20:01.844178,105817
2018-11-27 14:25:02.331802,107135
2018-11-27 14:30:01.938142,107135
2018-11-27 14:35:02.388775,107135
2018-11-27 14:40:01.988338,99474
2018-11-27 14:45:02.665684,99731
2018-11-27 14:50:01.932919,99731
2018-11-27 14:55:02.193349,100153
2018-11-27 15:00:01.795589,100153
2018-11-27 15:05:02.191104,100147
2018-11-27 15:10:02.625740,99943
2018-11-27 15:15:02.048683,99943
2018-11-27 15:20:02.528790,99372
2018-11-27 15:25:03.305238,99192
2018-11-27 15:30:01.790814,99192
2018-11-27 15:35:02.483739,98948
2018-11-27 15:40:01.785010,98948
2018-11-27 15:45:02.412604,102246
2018-11-27 15:50:01.725263,101624
2018-11-27 15:55:02.340903,101624
2018-11-27 16:00:01.937939,102369
2018-11-27 16:05:02.389940,102708
2018-11-27 16:10:01.803715,102708
2018-11-27 16:15:02.317053,102859
2018-11-27 16:20:01.979520,102859
2018-11-27 16:25:02.368307,102662
2018-11-27 16:30:01.834657,102758
2018-11-27 16:35:02.453805,102758
2018-11-27 16:40:01.831705,103348
2018-11-27 16:45:02.345810,103358
2018-11-27 16:50:01.585982,103358
2018-11-27 16:55:02.033809,102448
2018-11-27 17:00:01.534915,102448
2018-11-27 17:05:02.325310,101434
2018-11-27 17:10:01.797280,100980
2018-11-27 17:15:02.340636,100980
2018-11-27 17:20:01.696190,99289
2018-11-27 17:25:02.058412,99289
2018-11-27 17:30:02.515912,99289
2018-11-27 17:35:02.074559,99971
2018-11-27 17:40:02.518708,99971
2018-11-27 17:45:01.901542,99272
2018-11-27 17:50:02.474597,99745
2018-11-27 17:55:01.856352,99745
2018-11-27 18:00:02.377698,99941
2018-11-27 18:05:01.914507,100844
2018-11-27 18:10:02.351490,100844
2018-11-27 18:15:01.973361,101230
2018-11-27 18:20:02.476612,101230
2018-11-27 18:25:01.816880,104329
2018-11-27 18:30:02.442396,103725
2018-11-27 18:35:01.838588,103725
2018-11-27 18:40:02.262930,103833
2018-11-27 18:45:01.949850,106399
2018-11-27 18:50:02.393639,106399
2018-11-27 18:55:01.926478,106892
2018-11-27 19:00:01.549746,106892
2018-11-27 19:05:02.290841,107286
2018-11-27 19:10:01.821352,107286
2018-11-27 19:15:02.429669,107257
2018-11-27 19:20:02.311983,107151
2018-11-27 19:25:01.983537,107151
2018-11-27 19:30:02.381102,108256
2018-11-27 19:35:01.935910,108304
2018-11-27 19:40:04.828124,108304
2018-11-27 19:45:08.544011,104429
2018-11-27 19:50:01.966836,104429
2018-11-27 19:55:02.341736,103667
2018-11-27 20:00:01.589871,103286
2018-11-27 20:05:02.274812,103286
2018-11-27 20:10:02.314509,102270
2018-11-27 20:15:01.866500,102305
2018-11-27 20:20:02.551260,102305
2018-11-27 20:25:01.908746,102166
2018-11-27 20:30:02.480583,102166
2018-11-27 20:35:02.191204,101971
2018-11-27 20:40:02.073837,102234
2018-11-27 20:45:01.823871,102234
2018-11-27 20:50:01.585983,103791
2018-11-27 20:55:02.236095,104156
2018-11-27 21:00:01.788854,104156
2018-11-27 21:05:02.359073,103182
2018-11-27 21:10:01.756759,103182
2018-11-27 21:15:02.342802,103311
2018-11-27 21:20:01.891906,103194
2018-11-27 21:25:02.321395,103194
2018-11-27 21:30:01.770105,102644
2018-11-27 21:35:01.848495,101894
2018-11-27 21:40:02.383511,101894
2018-11-27 21:45:01.926997,101595
2018-11-27 21:50:02.329277,101595
2018-11-27 21:55:01.896366,101440
2018-11-27 22:00:01.776372,101767
2018-11-27 22:05:02.474082,101767
2018-11-27 22:10:01.743349,101908
2018-11-27 22:15:02.282740,102127
2018-11-27 22:20:01.901329,102127
2018-11-27 22:25:01.784931,102086
2018-11-27 22:30:02.322331,102086
2018-11-27 22:35:01.861314,101324
2018-11-27 22:40:02.299362,101308
2018-11-27 22:45:01.980702,101308
2018-11-27 22:50:01.911283,101290
2018-11-27 22:55:01.832050,101173
2018-11-27 23:00:02.294229,101173
2018-11-27 23:05:01.606116,101056
2018-11-27 23:10:02.178001,101056
2018-11-27 23:15:01.776579,100754
2018-11-27 23:20:02.308654,100505
2018-11-27 23:25:01.735739,100505
2018-11-27 23:30:02.369370,102020
2018-11-27 23:35:02.292038,101199
2018-11-27 23:40:02.053744,101199
2018-11-27 23:45:01.586270,101497
2018-11-27 23:50:02.063676,101497
2018-11-27 23:55:01.671059,102058
2018-11-28 00:00:02.284946,102204
2018-11-28 00:05:01.688063,102204
2018-11-28 00:10:02.273076,102518
2018-11-28 00:15:02.445599,102453
2018-11-28 00:20:02.101518,102453
2018-11-28 00:25:01.573637,102658
2018-11-28 00:30:02.221558,102658
2018-11-28 00:35:02.050211,102625
2018-11-28 00:40:01.592341,102919
2018-11-28 00:45:02.212730,102919
2018-11-28 00:50:01.873829,103335
2018-11-28 00:55:02.520422,103335
2018-11-28 01:00:02.057574,103335
2018-11-28 01:05:01.707164,103251
2018-11-28 01:10:02.286689,103251
2018-11-28 01:15:01.899966,103451
2018-11-28 01:20:02.464931,103320
2018-11-28 01:25:02.094963,103320
2018-11-28 01:30:01.768901,103151
2018-11-28 01:35:02.540721,103073
2018-11-28 01:40:02.202016,103073
2018-11-28 01:45:01.718897,102683
2018-11-28 01:50:02.331579,102683
2018-11-28 01:55:02.153843,101300
2018-11-28 02:00:01.720035,101550
2018-11-28 02:05:02.538810,101550
2018-11-28 02:10:02.023383,101620
2018-11-28 02:15:01.686253,102889
2018-11-28 02:20:02.531646,102889
2018-11-28 02:25:02.201018,102834
2018-11-28 02:30:01.686069,102834
2018-11-28 02:35:02.222025,102814
2018-11-28 02:40:01.814967,103077
2018-11-28 02:45:02.461149,103077
2018-11-28 02:50:01.764165,103236
2018-11-28 02:55:02.237852,103205
2018-11-28 03:00:01.795943,103205
2018-11-28 03:05:02.465973,103305
2018-11-28 03:10:01.916551,103305
2018-11-28 03:15:01.585856,103538
2018-11-28 03:20:01.733699,103646
2018-11-28 03:25:02.158845,103646
2018-11-28 03:30:01.575406,104861
2018-11-28 03:35:01.921327,105719
2018-11-28 03:40:03.232771,105719
2018-11-28 03:45:02.138752,105484
2018-11-28 03:50:01.775864,105484
2018-11-28 03:55:02.420166,105809
2018-11-28 04:00:02.105666,104712
2018-11-28 04:05:01.804653,104712
2018-11-28 04:10:02.449671,105560
2018-11-28 04:15:02.114236,105334
2018-11-28 04:20:01.761946,105334
2018-11-28 04:25:02.481923,105334
2018-11-28 04:30:01.505538,105334
2018-11-28 04:35:02.285726,105142
2018-11-28 04:40:01.933202,104808
2018-11-28 04:45:02.357948,104808
2018-11-28 04:50:01.657106,104995
2018-11-28 04:55:02.260799,106904
2018-11-28 05:00:01.961905,106904
2018-11-28 05:05:01.592311,106769
2018-11-28 05:10:02.228115,106769
2018-11-28 05:15:01.732455,105267
2018-11-28 05:20:02.352983,105370
2018-11-28 05:25:01.928317,105370
2018-11-28 05:30:02.324351,105509
2018-11-28 05:35:01.750560,105409
2018-11-28 05:40:02.230502,105409
2018-11-28 05:45:01.786932,105183
2018-11-28 05:50:02.390139,105183
2018-11-28 05:55:02.000894,105044
2018-11-28 06:00:01.581249,104909
2018-11-28 06:05:01.508337,104909
2018-11-28 06:10:02.364182,104906
2018-11-28 06:15:02.102143,104628
2018-11-28 06:20:01.660610,104628
2018-11-28 06:25:02.467690,103853
2018-11-28 06:30:01.829790,103853
2018-11-28 06:35:02.400543,103937
2018-11-28 06:40:02.315090,103898
2018-11-28 06:45:02.142400,103898
2018-11-28 06:50:01.578404,103635
2018-11-28 06:55:02.161875,103362
2018-11-28 07:00:01.641964,103362
2018-11-28 07:05:02.003601,103362
2018-11-28 07:10:01.505446,103362
2018-11-28 07:15:02.309454,104227
2018-11-28 07:20:01.821203,103089
2018-11-28 07:25:02.199372,103089
2018-11-28 07:30:01.854977,102946
2018-11-28 07:35:02.462464,102265
2018-11-28 07:40:01.939672,102265
2018-11-28 07:45:02.284259,102119
2018-11-28 07:50:01.609651,102119
2018-11-28 07:55:01.913544,101771
2018-11-28 08:00:01.510756,101657
2018-11-28 08:05:02.103174,101657
2018-11-28 08:10:02.655620,100455
2018-11-28 08:15:02.134887,100539
2018-11-28 08:20:02.502191,100539
2018-11-28 08:25:02.098789,100849
2018-11-28 08:30:02.404175,100849
2018-11-28 08:35:01.875579,100685
2018-11-28 08:40:02.286261,101213
2018-11-28 08:45:02.412770,101213
2018-11-28 08:50:01.594065,101642
2018-11-28 08:55:02.041954,102162
2018-11-28 09:00:01.690355,102162
2018-11-28 09:05:01.564911,103087
2018-11-28 09:10:01.755318,103087
2018-11-28 09:15:02.284625,103796
2018-11-28 09:20:01.655061,104700
2018-11-28 09:25:02.171619,104700
2018-11-28 09:30:01.789931,105909
2018-11-28 09:35:01.899086,105342
2018-11-28 09:40:02.243809,105342
2018-11-28 09:45:01.548621,105495
2018-11-28 09:50:02.014488,105495
2018-11-28 09:55:02.533199,104786
2018-11-28 10:00:01.898275,104601
2018-11-28 10:05:02.353907,104601
2018-11-28 10:10:01.994700,104772
2018-11-28 10:15:01.539239,104739
2018-11-28 10:20:01.850098,104739
2018-11-28 10:25:02.404410,103941
2018-11-28 10:30:01.730176,103941
2018-11-28 10:35:02.199495,103885
2018-11-28 10:40:01.643722,104590
2018-11-28 10:45:02.019116,104590
2018-11-28 10:50:01.580411,105493
2018-11-28 10:55:02.141595,106691
2018-11-28 11:00:01.920696,106691
2018-11-28 11:05:02.455962,107203
2018-11-28 11:10:01.923574,107203
2018-11-28 11:15:01.539049,106951
2018-11-28 11:20:02.048205,106951
2018-11-28 11:25:01.586782,106951
2018-11-28 11:30:02.228267,106694
2018-11-28 11:35:01.758917,106678
2018-11-28 11:40:02.215445,106678
2018-11-28 11:45:01.859930,106661
2018-11-28 11:50:02.175635,106661
2018-11-28 11:55:01.838741,107020
2018-11-28 12:00:02.377513,104011
2018-11-28 12:05:02.043875,104011
2018-11-28 12:10:01.518709,101264
2018-11-28 12:15:01.995296,101264
2018-11-28 12:20:02.361206,101264
2018-11-28 12:25:02.079364,101264
2018-11-28 12:30:01.611221,101264
2018-11-28 12:35:01.461857,100667
2018-11-28 12:40:01.934036,100667
2018-11-28 12:45:02.369378,100667
2018-11-28 12:50:02.067870,102788
2018-11-28 12:55:02.442429,102865
2018-11-28 13:00:02.071943,102865
2018-11-28 13:05:01.524582,103789
2018-11-28 13:10:01.957283,103789
2018-11-28 13:15:01.637858,105604
2018-11-28 13:20:02.062967,105604
2018-11-28 13:25:01.533622,105604
2018-11-28 13:30:02.097459,105604
2018-11-28 13:35:01.714237,105439
2018-11-28 13:40:02.182070,105439
2018-11-28 13:45:01.584778,105239
2018-11-28 13:50:01.991646,105239
2018-11-28 13:55:02.409538,104291
2018-11-28 14:00:02.119095,104570
2018-11-28 14:05:01.904953,104570
2018-11-28 14:10:01.497227,103529
2018-11-28 14:15:02.415737,101283
2018-11-28 14:20:02.061123,101283
2018-11-28 14:25:01.556572,101386
2018-11-28 14:30:02.089404,101386
2018-11-28 14:35:01.663426,101210
2018-11-28 14:40:02.050396,100997
2018-11-28 14:45:02.437772,100997
2018-11-28 14:50:02.178287,100941
2018-11-28 14:55:02.650089,99210
2018-11-28 15:00:02.276352,99210
2018-11-28 15:05:01.796662,99445
2018-11-28 15:10:02.508194,99445
2018-11-28 15:15:02.004726,99502
2018-11-28 15:20:02.519958,99337
2018-11-28 15:25:01.926943,99337
2018-11-28 15:30:02.630945,99337
2018-11-28 15:35:02.169076,99277
2018-11-28 15:40:02.090562,99277
2018-11-28 15:45:01.554128,99277
2018-11-28 15:50:02.343914,99277
2018-11-28 15:55:01.797030,101738
2018-11-28 16:00:02.419725,104782
2018-11-28 16:05:01.781735,104782
2018-11-28 16:10:02.233417,105063
2018-11-28 16:15:01.967236,105370
2018-11-28 16:20:01.845625,105370
2018-11-28 16:25:02.217705,105529
2018-11-28 16:30:01.722077,105529
2018-11-28 16:35:01.561303,105529
2018-11-28 16:40:02.220019,105617
2018-11-28 16:45:01.828024,105617
2018-11-28 16:50:02.493830,105579
2018-11-28 16:55:02.067233,105579
2018-11-28 17:00:02.442182,105579
2018-11-28 17:05:02.016040,105661
2018-11-28 17:10:01.900557,105661
2018-11-28 17:15:02.455487,104502
2018-11-28 17:20:01.980600,103933
2018-11-28 17:25:01.652014,103933
2018-11-28 17:30:02.338230,104680
2018-11-28 17:35:02.122365,104864
2018-11-28 17:40:01.595416,104864
2018-11-28 17:45:02.475971,104864
2018-11-28 17:50:02.129734,104864
