t,buy_high
2018-11-26 00:00:00.000000,102100
2018-11-27 00:00:00.000000,108304
2018-11-28 00:00:00.000000,107203
2018-11-29 00:00:00.000000,105679
2018-11-30 00:00:00.000000,106996
2018-12-01 00:00:00.000000,109550
2018-12-02 00:00:00.000000,106556
2018-12-03 00:00:00.000000,106501
2018-12-04 00:00:00.000000,107862
2018-12-05 00:00:00.000000,107050
2018-12-06 00:00:00.000000,106946
2018-12-07 00:00:00.000000,108084
2018-12-08 00:00:00.000000,118098
2018-12-09 00:00:00.000000,112530
2018-12-10 00:00:00.000000,108696
2018-12-11 00:00:00.000000,108404
2018-12-12 00:00:00.000000,108443
2018-12-13 00:00:00.000000,108383
2018-12-14 00:00:00.000000,109149
2018-12-15 00:00:00.000000,108423
2018-12-16 00:00:00.000000,108575
2018-12-17 00:00:00.000000,106825
2018-12-18 00:00:00.000000,108056
2018-12-19 00:00:00.000000,108000
2018-12-20 00:00:00.000000,108000
2018-12-21 00:00:00.000000,107388
2018-12-22 00:00:00.000000,107688
2018-12-23 00:00:00.000000,107846
2018-12-24 00:00:00.000000,107625
2018-12-25 00:00:00.000000,107988
2018-12-26 00:00:00.000000,119300
2018-12-27 00:00:00.000000,141367
2018-12-28 00:00:00.000000,109361
2018-12-29 00:00:00.000000,107999
2018-12-30 00:00:00.000000,109822
2018-12-31 00:00:00.000000,107750
2019-01-01 00:00:00.000000,107999
2019-01-02 00:00:00.000000,107999
2019-01-03 00:00:00.000000,107587
2019-01-04 00:00:00.000000,108220
2019-01-05 00:00:00.000000,107000
2019-01-06 00:00:00.000000,114140
2019-01-07 00:00:00.000000,107464
2019-01-08 00:00:00.000000,106791
2019-01-09 00:00:00.000000,106999
2019-01-10 00:00:00.000000,105400
2019-01-11 00:00:00.000000,106981
2019-01-12 00:00:00.000000,104000
2019-01-13 00:00:00.000000,98182
2019-01-14 00:00:00.000000,101000
2019-01-15 00:00:00.000000,99312
2019-01-16 00:00:00.000000,97500
2019-01-17 00:00:00.000000,99550
2019-01-18 00:00:00.000000,104087
2019-01-19 00:00:00.000000,103130
2019-01-20 00:00:00.000000,102999
2019-01-21 00:00:00.000000,104232
2019-01-22 00:00:00.000000,112980
2019-01-23 00:00:00.000000,109869
2019-01-24 00:00:00.000000,103267
2019-01-25 00:00:00.000000,113669
2019-01-26 00:00:00.000000,111000
2019-01-27 00:00:00.000000,106960
2019-01-28 00:00:00.000000,105180
2019-01-29 00:00:00.000000,102895
2019-01-30 00:00:00.000000,102330
2019-01-31 00:00:00.000000,104163
2019-02-01 00:00:00.000000,102338
2019-02-02 00:00:00.000000,104135
2019-02-03 00:00:00.000000,104536
2019-02-04 00:00:00.000000,102448
2019-02-05 00:00:00.000000,103751
2019-02-06 00:00:00.000000,117367
2019-02-07 00:00:00.000000,110971
2019-02-08 00:00:00.000000,117719
2019-02-09 00:00:00.000000,158713
2019-02-10 00:00:00.000000,104214
2019-02-11 00:00:00.000000,102698
2019-02-12 00:00:00.000000,104117
2019-02-13 00:00:00.000000,102510
2019-02-14 00:00:00.000000,103552
2019-02-15 00:00:00.000000,102331
2019-02-16 00:00:00.000000,103661
2019-02-17 00:00:00.000000,102338
2019-02-18 00:00:00.000000,103761
2019-02-19 00:00:00.000000,101000
2019-02-20 00:00:00.000000,106679
2019-02-21 00:00:00.000000,103798
2019-02-22 00:00:00.000000,106761
2019-02-23 00:00:00.000000,158134
2019-02-24 00:00:00.000000,149199
2019-02-25 00:00:00.000000,108670
2019-02-26 00:00:00.000000,112010
2019-02-27 00:00:00.000000,122611
2019-02-28 00:00:00.000000,200000
2019-03-01 00:00:00.000000,150000
2019-03-02 00:00:00.000000,146185
2019-03-03 00:00:00.000000,187686
2019-03-04 00:00:00.000000,120176
2019-03-05 00:00:00.000000,120298
2019-03-06 00:00:00.000000,117163
2019-03-07 00:00:00.000000,117298
